Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
prosthetic assistant,"Posted on March 23, 2024",Metro,"Sarnia, ON",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-21,https://www.jobbank.gc.ca/jobsearch/jobposting/40601696?source=searchresults
cabinetmaker,"Posted on February 28, 2024",Sympro Mfg Inc.,"Mississauga, ON",27.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 to less than 7 months,"Study plans, specifications or drawings of articles to be made, Trim joints and fit parts and subassemblies together to form complete unit and reinforce joints, Sand wooden surfaces and apply veneer, stain or polish to finished products; prepare and apply laminated plastics, Apply varnish, veneer, stain or polish to finished products, Maintain clean and safe work environment, Supervise other workers, Estimate costs and materials, Operate woodworking machines and use hand tools to cut, shape and form parts and components, Repair or restyle wooden furniture, fixtures and related products",,2024-04-27,https://www.jobbank.gc.ca/jobsearch/jobposting/40386176?source=searchresults
restoration carpenter,"Posted on March 18, 2024",Supra Restoration Services LTD,"Bradford, ON",30.00 HOUR,40 hours per week,Term or contract (ending: 2027-07-02)Full time,,3 vacancies,English,Secondary (high) school graduation certificate,2 years to less than 3 years,"Read and interpret blueprints, drawings and sketches to determine specifications and calculate requirements, Prepare layouts in conformance to building codes, using measuring tools, Measure, cut, shape, assemble and join materials made of wood, wood substitutes, lightweight steel and other materials, Build foundations, install floor beams, lay subflooring and erect walls and roof systems, Fit and install windows, doors, stairs, mouldings and hardware, Schedule and co-ordinate work on sites, Instruct apprentices, Estimate costs and materials, Maintain, repair and renovate residences and wooden structures in mills, mines, hospitals, industrial plants and other establishments",,2024-04-17,https://www.jobbank.gc.ca/jobsearch/jobposting/40548520?source=searchresults
painter,"Posted on March 12, 2024",Majestic Renovations,"Bradford, ON",30.00 HOUR,32 to 44 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"No degree, certificate or diploma",3 years to less than 5 years,"Prepare, clean and sand surfaces to be painted, Repair cracks and holes, Measure, cut and apply wallpaper and other fabric to walls, Erect scaffolding and swing stages and attach rigging, Apply paint, wallpaper and other materials and finishes to interior and exterior surfaces",,2024-04-11,https://www.jobbank.gc.ca/jobsearch/jobposting/40492860?source=searchresults
marketing coordinator,"Posted on March 25, 2024","Vaco, LLC","Mississauga, ON",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-26,https://www.jobbank.gc.ca/jobsearch/jobposting/40633827?source=searchresults
store manager - retail,"Posted on March 11, 2024",professional book fairs,"Toronto, ON",44.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",7 months to less than 1 year,"Manage staff and assign duties, Determine merchandise and services to be sold, Develop and implement marketing strategies, Plan budgets and monitor revenues and expenses, Determine staffing requirements, Resolve issues that may arise, including customer requests, complaints and supply shortages, Plan, organize, direct, control and evaluate daily operations, Recruit, hire and supervise staff and/or volunteers, Oversee payroll administration, Supervise office and volunteer staff, 3-4 people",,2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40483792?source=searchresults
administrative assistant,"Posted on March 25, 2024",URBAN DECOR FURNISHINGS,"Brampton, ON",25.50 HOUR,30 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,7 months to less than 1 year,"Determine and establish office procedures and routines, Schedule and confirm appointments, Answer telephone and relay telephone calls and messages, Answer electronic enquiries, Order office supplies and maintain inventory, Organize staff consultation and grievance procedures, Plan, organize, direct, control and evaluate daily operations, Arrange travel, related itineraries and make reservations, Greet people and direct them to contacts or service areas, Open and distribute regular and electronic incoming mail and other material and co-ordinate the flow of information, Provide customer service",Other benefits,2024-04-24,https://www.jobbank.gc.ca/jobsearch/jobposting/40613014?source=searchresults
store manager - retail,"Posted on March 11, 2024",professional book fairs,"Milton, ON",44.00 HOUR,35 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years

or equivalent experience",7 months to less than 1 year,"Manage staff and assign duties, Determine merchandise and services to be sold, Develop and implement marketing strategies, Plan budgets and monitor revenues and expenses, Determine staffing requirements, Resolve issues that may arise, including customer requests, complaints and supply shortages, Plan, organize, direct, control and evaluate daily operations, Recruit, hire and supervise staff and/or volunteers, Oversee payroll administration, Supervise office and volunteer staff, 3-4 people",,2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40483813?source=searchresults
line cook,"Posted on March 06, 2024",Kelseys Grand Park,"Mississauga, ON",17.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Plan menus, determine size of food portions, estimate food requirements and costs, and monitor and order supplies, Inspect kitchens and food service areas, Train staff in preparation, cooking and handling of food, Order supplies and equipment, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas, Recruit and hire staff, Organize buffets and banquets",,2024-04-15,https://www.jobbank.gc.ca/jobsearch/jobposting/40437740?source=searchresults
"cook, ethnic foods","Posted on March 17, 2024",Mr. Shawarma,"Ottawa, ON",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"Other trades certificate or diploma

or equivalent experience",1 year to less than 2 years,"Prepare and cook complete meals or individual dishes and foods, Train staff in preparation, cooking and handling of food, Clean kitchen and work areas, Ensure that food and service meet quality control standards, Prepare and cook meals or specialty foods","Dental plan, Health care plan, Vision care benefits, Bonus, Gratuities, Life insurance",2024-04-16,https://www.jobbank.gc.ca/jobsearch/jobposting/40541336?source=searchresults
