Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
chef,"Posted on January 03, 2024",HUNTERS MARKET,"Iqaluit, NU",20.00 HOUR,35 hours per week,Term or contractFull time,Starts as soon as possible,2 vacancies,English,"No degree, certificate or diploma",2 years to less than 3 years,"Maintain records of food costs, consumption, sales and inventory, Supervise activities of specialist chefs, chefs, cooks and other kitchen workers, Create new recipes, Instruct cooks in preparation, cooking, garnishing and presentation of food, Prepare and cook complete meals and specialty foods for events such as banquets, Prepare and cook meals or specialty foods, Plan menus and ensure food meets quality standards","Health care plan, Free parking available, On-site housing options, Parking available",2024-04-21,https://www.jobbank.gc.ca/jobsearch/jobposting/39930722?source=searchresults
barista,"Posted on February 19, 2024",Kaapitaarvik Inc.,"Iqaluit, NU",23.08 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,Will train,"Package take-out food, Portion and wrap foods, Prepare, heat and finish simple food items, Serve customers at counters or buffet tables, Stock refrigerators and salad bars, Take customers' orders",,2024-04-19,https://www.jobbank.gc.ca/jobsearch/jobposting/40321001?source=searchresults
grocery clerk,"Posted on December 05, 2023",The North West Company LP,"Iqaluit, NU",18.00 HOUR,37.5 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Bag, box or parcel purchases for customers, for shipment or delivery, Obtain articles for customers from shelf or stockroom, Order stock, Record incoming stock, Keep stock clean and in order, Price items using stamp or stickers according to price list, Perform general cleaning duties (i.e. sweeping, mopping floors), Operate cash register, Order picking, Provide customer service","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Life insurance, Registered Retirement Savings Plan (RRSP), Stocks/shares, Maternity and parental benefits, Other benefits",2024-04-03,https://www.jobbank.gc.ca/jobsearch/jobposting/39723199?source=searchresults
dredge mechanic,"Posted on March 11, 2024",ACE Services Mécaniques inc.,"Rankin Inlet, NU",,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-04-09,https://www.jobbank.gc.ca/jobsearch/jobposting/40483115?source=searchresults
heavy equipment mechanic,"Posted on March 27, 2024",Nasittuq Corporation,"Grise Fiord, NU",,,,Starts as soon as possible,1 vacancy,,,,,,2024-04-28,https://www.jobbank.gc.ca/jobsearch/jobposting/40655636?source=searchresults
construction manager,"Posted on December 29, 2023",Gestion Marc Mahfouz Inc.,"Iqaluit, NU",58.00 HOUR,40 to 50 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"Bachelor's degree

or equivalent experience",5 years or more,"Prepare and submit construction project budget estimates, Hire and supervise activities of subcontractors, Plan and prepare construction schedules and milestones and monitor progress, Prepare contracts and negotiate revisions, changes and additions to contractual agreements, Establish and implement policies and procedures for quality control, Read blueprint, schemas and drawings, Plan and manage budgets, Develop and implement quality control programs, Oversee the analysis of data and information, Plan, organize, direct, control and evaluate daily operations, Prepare reports",,2024-04-06,https://www.jobbank.gc.ca/jobsearch/jobposting/40147530?source=searchresults
diesel mechanic - heavy equipment,"Posted on March 14, 2024",Canadrill Limited,"Iqaluit, NU","121,260.69 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-04-12,https://www.jobbank.gc.ca/jobsearch/jobposting/40517221;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
laundry supervisor,"Posted on January 29, 2024",902776 N.W.T. Limited,"Iqaluit, NU",22.50 HOUR,38.5 hours per week,Permanent employmentFull time,Starts as soon as possible,4 vacancies,English,Secondary (high) school graduation certificate,Experience an asset,"Arrange for maintenance and repair work, Assist clients/guests with special needs, Co-ordinate activities with other work units or departments, Ensure smooth operation of computer equipment and machinery, Establish work schedules and procedures, Be the point of contact when in need to handle emergency situations, Monitor quality and production levels, Oversee cleaning of specialty and difficult items, Wash or dry-clean industrial or household articles, Prepare and submit progress and other reports, Resolve work problems, provide technical advice and recommend measures to improve productivity and product quality, Supervise operation of mechanical equipment and machinery, Supervise, co-ordinate and schedule (and possibly review) activities of workers, Train staff/workers in job duties, safety procedures and company policies","Dental plan, Health care plan, Life insurance, Other benefits",2024-04-18,https://www.jobbank.gc.ca/jobsearch/jobposting/40147626?source=searchresults
Detachment Services Assistant,"Posted on March 28, 2024",Royal Canadian Mounted Police,"Pond Inlet, NU","55,955 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,2024-04-04,https://www.jobbank.gc.ca/jobsearch/jobposting/40646847;jsessionid=F4CE0B03C1B9592CA87E9B5792CFF8FB.jobsearch74?source=searchresults
mechanic helper,"Posted on December 29, 2023",NUNAVUT EXCAVATING,"Iqaluit, NU",22.75 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,3 vacancies,English,"No degree, certificate or diploma",Experience an asset,"Move tools, equipment and other materials, Hold stakes during surveying activities, Signal safety procedures to other workers and to the general public, Help tradespersons, apprentices and other workers as directed, Clean machines and immediate work areas",,2024-04-07,https://www.jobbank.gc.ca/jobsearch/jobposting/39899262?source=searchresults
