Title,Date Posted,Employer,Location,Salary,Employment Type,Start Date,Vacancies,Description,Languages,Education,Experience,Responsibilities
food service supervisor,"Posted on December 25, 2023",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$16.50HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Establish methods to meet work schedules. Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Estimate and order ingredients and supplies. Ensure food service and quality control. Address customers' complaints or concerns. Maintain records of stock, repairs, sales and wastage. Prepare and submit reports. Prepare food order summaries for chef. Establish work schedules. Experience: 1 year to less than 2 years. Health benefits: Dental plan. Health care plan. Financial benefits: Life insurance. Other benefits: Other benefits.",English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Ensure that food and service meet quality control standards, Address customers' complaints or concerns, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Prepare food order summaries for chef, Establish work schedules"
tour guide supervisor,"Posted on March 26, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$25.00HOUR hourly HOUR,Seasonal employmentFull time,,1 vacancy,"Education: College/CEGEP. Work setting: Remote location. Relocation costs not covered by employer. Tasks: Perform same duties as workers supervised. Assist clients/guests with special needs. Co-ordinate, assign and review work. Hire and train staff in job duties, safety procedures and company policies. Resolve work-related problems and prepare and submit progress and other reports. Supervision: 11-15 people. Certificates, licences, memberships, and courses : First Aid Certificate. CPR Certificate. Computer and technology knowledge: MS Outlook. Specialization or experience: Specialized environmental skills and knowledge. Work conditions and physical capabilities: Attention to detail. Fast-paced environment. Work under pressure. Screening questions: Are you available for the advertised start date?. Are you currently legally able to work in Canada?. Are you willing to relocate for this position?. Do you currently reside in proximity to the advertised location?. Do you have previous experience in this field of employment?. Do you have the above-indicated required certifications?. Experience: 2 years to less than 3 years. Green job: Involves duties and responsibilities that lead to positive environmental outcomes.",English,College/CEGEP,2 years to less than 3 years,"Perform same duties as workers supervised, Assist clients/guests with special needs, Co-ordinate, assign and review work, Hire and train staff in job duties, safety procedures and company policies, Resolve work-related problems and prepare and submit progress and other reports, 11-15 people"
"plumber, residential construction","Posted on March 15, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$50.00 to $70.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,Education: Registered Apprenticeship certificate. or equivalent experience. Experience: 1 year to less than 2 years. Green job: Involves duties and responsibilities that lead to positive environmental outcomes.,English,"Registered Apprenticeship certificate

or equivalent experience",1 year to less than 2 years,
veterinarian,"Posted on February 08, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$52.50 to $60.00HOUR hourly (To be negotiated) HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: Degree in medicine, dentistry, veterinary medicine or optometry. or equivalent experience. Work setting: Veterinary clinic. Tasks: Diagnose diseases or abnormal conditions in individual animals, herds and flocks through physical examinations or laboratory tests. Treat sick or injured animals by prescribing medication, setting bones, dressing wounds or performing surgery. Vaccinate animals to prevent and treat diseases. Advise clients on feeding, housing, behaviour, breeding, hygiene and general care of animals. Provide a range of veterinary services including obstetrics, dentistry and euthanasia. Responsible for overall operation of animal hospital, clinic or mobile service to farms. Supervise animal health technologists and animal care workers. Supervision: 3-4 people. Certificates, licences, memberships, and courses : Canadian Veterinary Medical Association Certification. Security and safety: Criminal record check. Transportation/travel information: Valid driver's licence. Work conditions and physical capabilities: Attention to detail. Fast-paced environment. Standing for extended periods. Bending, crouching, kneeling. Combination of sitting, standing, walking. Repetitive tasks. Work under pressure. Weight handling: Up to 9 kg (20 lbs). Personal suitability: Accurate. Dependability. Efficient interpersonal skills. Excellent oral communication. Excellent written communication. Flexibility. Initiative. Reliability. Team player. Values and ethics. Screening questions: Are you currently legally able to work in Canada?. Do you have previous experience in this field of employment?. Do you have the above-indicated required certifications?. What is the highest level of study you have completed?. What is your current field of study?. What is your current level of study?. Experience: 1 year to less than 2 years.",English,"Degree in medicine, dentistry, veterinary medicine or optometry

or equivalent experience",1 year to less than 2 years,"Diagnose diseases or abnormal conditions in individual animals, herds and flocks through physical examinations or laboratory tests, Treat sick or injured animals by prescribing medication, setting bones, dressing wounds or performing surgery, Vaccinate animals to prevent and treat diseases, Advise clients on feeding, housing, behaviour, breeding, hygiene and general care of animals, Provide a range of veterinary services including obstetrics, dentistry and euthanasia, Responsible for overall operation of animal hospital, clinic or mobile service to farms, Supervise animal health technologists and animal care workers, 3-4 people"
automotive service technician,"Posted on January 27, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$39.77HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,3 vacancies,"Education: Registered Apprenticeship certificate. or equivalent experience. Tasks: Inspect motor in operation, road test motor vehicles and test automotive systems and components. Adjust, repair or replace parts and components of automotive systems. Test and adjust repaired systems to manufacturer's specifications. Estimate parts and labour cost to perform vehicle maintenance and repairs . Perform scheduled maintenance service. Review work orders and discuss work with supervisor. Area of specialization: Engine repair. Electrical and electronic system. Diagnostics. Alignment, steering and suspension. Brake system. Fuel and emission system. Ignition and electrical system. Automatic transmission. Standard transmission. Engine repair and overhaul. Drive train components. Experience: 3 years to less than 5 years. Financial benefits: Group insurance benefits.",English,"Registered Apprenticeship certificate

or equivalent experience",3 years to less than 5 years,"Inspect motor in operation, road test motor vehicles and test automotive systems and components, Adjust, repair or replace parts and components of automotive systems, Test and adjust repaired systems to manufacturer's specifications, Estimate parts and labour cost to perform vehicle maintenance and repairs, Perform scheduled maintenance service, Review work orders and discuss work with supervisor"
cook,"Posted on January 23, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$20.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Work setting: Restaurant. Tasks: Prepare and cook complete meals or individual dishes and foods. Train staff in preparation, cooking and handling of food. Maintain inventory and records of food, supplies and equipment. Manage kitchen operations. Cuisine specialties: Japanese cuisine. Experience: 2 years to less than 3 years.",English,Secondary (high) school graduation certificate,2 years to less than 3 years,"Prepare and cook complete meals or individual dishes and foods, Train staff in preparation, cooking and handling of food, Maintain inventory and records of food, supplies and equipment, Manage kitchen operations"
truck owner operator,"Posted on March 07, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,,Starts as soon as possible,1 vacancy,"Overland West Freight Lines Ltd. is your key to reach your full potential.
As the leading expedited over-the-road carrier in Western Canada, we have 24 owned and operated service centers in British Columbia, Alberta, the Yukon and Northwest Territories. With this extensive network, we are always looking for people to join our team.
With our vision of providing the best service possible, our team members are critical to our success. So, if you thrive in a dynamic and fast-paced environment, we have a career for you! 
If you are an energetic and enthusiastic Owner Operator or Company Line Driver, then you have what it takes to join our team!
Job Summary
Provide daily line haul services between our",,,,
shift manager - fast food restaurant,"Posted on March 20, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",$21.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year. Tasks: Supervise and co-ordinate activities of staff who prepare and portion food. Train staff in job duties, sanitation and safety procedures. Ensure food service and quality control. Maintain records of stock, repairs, sales and wastage. Work conditions and physical capabilities: Fast-paced environment. Work under pressure. Standing for extended periods. Experience: 7 months to less than 1 year. Health benefits: Dental plan. Disability benefits. Health care plan. Paramedical services coverage. Vision care benefits.",English,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year",7 months to less than 1 year,"Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Ensure that food and service meet quality control standards, Maintain records of stock, repairs, sales and wastage"
front desk agent,"Posted on February 10, 2024",Government of Canada / Gouvernement du Canada,"Hay River, NT",$17.00HOUR hourly HOUR,Permanent employmentFull time,Starts as soon as possible,2 vacancies,"Education: Secondary (high) school graduation certificate. Tasks: Register arriving guests and assign rooms. Process group arrivals and departures. Take, cancel and change room reservations. Provide information on hotel facilities and services. Provide general information about points of interest in the area. Process guests' departures, calculate charges and receive payments. Balance cash and complete balance sheets, cash reports and related forms. Maintain an inventory of vacancies, reservations and room assignments. Follow emergency and safety procedures. Clerical duties (i.e. faxing, filing, photocopying). Answer telephone and relay telephone calls and messages. Assist clients/guests with special needs. Perform light housekeeping and cleaning duties. Provide customer service. Experience: Experience an asset. Health benefits: Health care plan.",English,Secondary (high) school graduation certificate,Experience an asset,"Register arriving guests and assign rooms, Process group arrivals and departures, Take, cancel and change room reservations, Provide information on hotel facilities and services, Provide general information about points of interest in the area, Process guests' departures, calculate charges and receive payments, Balance cash and complete balance sheets, cash reports and related forms, Maintain an inventory of vacancies, reservations and room assignments, Follow emergency and safety procedures, Clerical duties (i.e. faxing, filing, photocopying), Answer telephone and relay telephone calls and messages, Assist clients/guests with special needs, Perform light housekeeping and cleaning duties, Provide customer service"
cook,"Posted on March 14, 2024",Government of Canada / Gouvernement du Canada,"Yellowknife, NT",,,Starts as soon as possible,1 vacancy,"Company Description
WHO ARE WE?
We've been serving Canadian clients for over 75 years. The companies that began independently and now form Dexterra Group have an outstanding record of supporting the infrastructure and built assets that play a vital role in our society and helping our clients achieve higher performance and productivity. Powered by passionate people, we bring the right teams with the right skills together - offering both experience and regional expertise so companies can operate their day to day, confidently and successfully.
Job Description
WHAT'S THE JOB?
At Dexterra, we create exceptional customer experiences that make our clients shine. Powered by passionate people, we bring the right teams with the right skills together to turn problems into",,,,
