Title,Price($),Address,Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url
"Renovated bachelor, King and Jameson - ID 2541",1700,"28 Maynard Avenue, Toronto, ON, M6K 2Z9",2024-03-01 00:09:07,Apartment,Bachelor/Studio,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,Not Available,"April 1, 2024",Yes,293,No,No,Not Included,No,"Laundry (In Unit), Laundry (In Building), Fridge / Freezer",Bicycle Parking,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-king-and-jameson-id-2541/1683888315
"renovated two bedroom, queen and victoria park - ID 3192",2600,"3008 Queen Street East, Toronto, ON, M1N 1A4",2024-02-21 19:42:00,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,Not Available,"April 1, 2024",Yes,758,No,No,Not Included,No,"Laundry (In Unit), Laundry (In Building), Dishwasher, Fridge / Freezer",Storage Space,,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-two-bedroom-queen-and-victoria-park-id-3192/1686025060
Fully Renovated 2 Bedroom in Etobicoke!,2400,"165 La Rose Avenue, Etobicoke, ON, M9P 3S9",2024-03-02 00:11:06,Apartment,2,1,"Hydro_No,Heat_Yes,Water_No",Not Included,0,1 Year,,Yes,833,No,Yes,Balcony,No,"Laundry (In Building), Dishwasher, Fridge / Freezer","Pool, Elevator in Building","Realstar's Royal Rose Apartments offers premium two bedroom suites in the community-driven neighbourhood of Westmount in Etobicoke. Steps to shopping, restaurants, places of worship, nature paths, biking trails and golf courses, makes Royal Rose the ideal place to call home for those seeking an active, mature, lifestyle. Enjoy the many property amenities such as smoke-free living, seasonal pool, fitness facility, tennis court, basketball court, social room, sauna, on-site laundry, garage and visitor parking and a helpful on-site management team to service your needs. This vibrant Etobicoke neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/fully-renovated-2-bedroom-in-etobicoke/1639869260
831 Kennedy Road - 831 Kennedy Apartment for Rent,2699,"831 Kennedy Road, Toronto, ON, M1K 2E3",2024-02-29 14:54:00,Apartment,2,1,,Not Included,0,1 Year,,Yes,986,No,No,Not Included,No,Fridge / Freezer,Elevator in Building,"Situated in a family-oriented area of Scarborough, 831 Kennedy Helen Towers is a wonderful rental community located close to several schools, a childcare centre, a community centre, public library, and shopping. Your home backs onto Treverton Park – the perfect place to walk your dog or take the kids to the playground. There is a grocery store and a Shoppers Drug Mart just steps away on Eglinton Avenue East. The TTC stops outside your door and The Kennedy subway station, the Kennedy GO station, and Scarborough RT are a short walk away – making all parts of Toronto and the GTA easily accessible. All the shopping and entertainment options of Eglinton Town Centre and Eglinton Square are minutes away as well. Centennial College Ashtonbee Campus, Ashtonbee Reservoir Park, Wexford Park and nature trails are all close by.Your bright and spacious, pet-friendly rental apartment features gleaming parquet floors and a private balcony. Enjoy the convenience of on-site laundry facilities, plenty of visitor parking, and parking available for you. Experience the peace of mind that comes with monitored security cameras and a friendly on-site management team – there to handle any maintenance issues that may arise. Helen Towers is a Certified Rental Building.If you're looking for a comfortable, convenient, and family-friendly place to call home, you can stop searching. Helen Towers (831  Kennedy Road) is ready to welcome you. Incentive: - FMR- First Month Rent for Free nullBuilding OverivewSituated in a family-oriented area of Scarborough, 831 Kennedy Helen Towers is a wonderful rental community located close to several schools, a childcare centre, a community centre, public library, and shopping. Your home backs onto Treverton Park – the perfect place to walk your dog or take the kids to the playground. There is a grocery store and a Shoppers Drug Mart just steps away on Eglinton Avenue East. The TTC stops outside your door and The Kennedy subway station, the Kennedy GO station, and Scarborough RT are a short walk away – making all parts of Toronto and the GTA easily accessible. All the shopping and entertainment options of Eglinton Town Centre and Eglinton Square are minutes away as well. Centennial College Ashtonbee Campus, Ashtonbee Reservoir Park, Wexford Park and nature trails are all close by.Your bright and spacious, pet-friendly rental apartment features gleaming parquet floors and a private balcony. Enjoy the convenience of on-site laundry facilities, plenty of visitor parking, and parking available for you. Experience the peace of mind that comes with monitored security cameras and a friendly on-site management team – there to handle any maintenance issues that may arise. Helen Towers is a Certified Rental Building.If you're looking for a comfortable, convenient, and family-friendly place to call home, you can stop searching. Helen Towers (831  Kennedy Road) is ready to welcome you.Current PromotionsHurry! 1 Month Free - For a limited time only | Call Today!For a limited time, you can receive ONE MONTH FREE on a 12-month lease. *Receive your first month free on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/831-kennedy-road-831-kennedy-apartment-for-rent/1686827384
"renovated two bedroom, don mills and lawrence - ID 3244",2750,"150 The Donway West, Toronto, ON, M3C 2G2",2024-03-05 21:36:00,Apartment,2,1,"Hydro_No,Heat_Yes,Water_Yes",Not Included,0,Not Available,"May 1, 2024",Yes,886,No,Yes,Balcony,No,"Laundry (In Unit), Laundry (In Building), Dishwasher, Fridge / Freezer","Storage Space, Elevator in Building",,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-two-bedroom-don-mills-and-lawrence-id-3244/1687384233
"PRIVATE BASEMENT APARTMENT, LOCATED AT KENNEDY/LAWRENCE EAST",1500,"Scarborough, ON M1P 1S7",2024-03-12 01:15:30,Basement,1 + Den,1,"Hydro_Yes,Heat_Yes,Water_Yes",Internet,0,1 Year,"April 1, 2024",No,500,No,Yes,Yard,No,"Laundry (In Building), Fridge / Freezer",,"PLEASE READ THE ENTIRE AD BEFORE CONTACTING ME. PLEASE TEXT, MESSAGE OR CALL ME AT THE LISTED NUMBER FOR QUICK RESPONSES. IF THE AD IS STILL UP, IT IS STILL AVAILABLE.","2,348 visits",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-basement-apartment-located-at-kennedy-lawrence-east/1685515558
105 West Lodge - 1 Bedroom Apartment in the Heart of Parkdale Ap,2279,"105 West Lodge, Toronto, ON, M6K 2T8",2024-03-12 21:37:44,Apartment,1,1,,Not Included,0,1 Year,,Yes,629,No,No,Not Included,No,Fridge / Freezer,"Storage Space, Elevator in Building",Building Overivew,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/105-west-lodge-1-bedroom-apartment-in-the-heart-of-parkdale-ap/1682857424
105 West Lodge - Studio Apartment in the Heart of Parkdale Apart,2069,"105 West Lodge, Toronto, ON, M6K 2T8",2024-03-12 21:37:44,Apartment,Bachelor/Studio,1,,Not Included,0,1 Year,,Yes,411,No,No,Not Included,No,Fridge / Freezer,"Storage Space, Elevator in Building",Building Overivew,,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/105-west-lodge-studio-apartment-in-the-heart-of-parkdale-apart/1678918599
1-Bdm. for Rent at Junction Factory Dundas W./Runnymede Rd.,2475,"3385 Dundas Street West, Toronto, ON, M6S 0A7",2024-03-12 21:36:44,Apartment,1,1,"Hydro_No,Heat_Yes,Water_No",Internet,0,1 Year,,Yes,535,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Elevator in Building","Under New Management! Realstar welcomes you to Junction Factory offering boutique rental living in one of the coolest neighbourhoods of Toronto's west side, The Junction. Bordered by the northern end of High Park and the eastern arm of Junction Triangle, this eclectic neighborhood welcomes urban professionals and young families alike. The familiar vibe of The Junction makes you instantly feel like you are home. Enjoy the many property amenities such as smoke-free living, fitness facility with yoga and spin studio, social room, resident business centre, theatre with billiards, outdoor patio with BBQ and lounge area, bike storage, pet spa, garage parking with EV stations, visitor parking and Communauto car rental along with a helpful on-site management team to service your needs. This vibrant neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bdm-for-rent-at-junction-factory-dundas-w-runnymede-rd/1682800714
2-Bdm. + Den for Rent at Junction Factory Dundas W./Runnymede,3345,"3385 Dundas Street West, Toronto, ON, M6S 0A7",2024-03-12 21:36:44,Apartment,2 + Den,2,"Hydro_No,Heat_Yes,Water_No",Internet,0,1 Year,,Yes,Not Available,No,Yes,Balcony,No,"Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Bicycle Parking, Elevator in Building","Under New Management! Realstar welcomes you to Junction Factory offering boutique rental living in one of the coolest neighbourhoods of Toronto's west side, The Junction. Bordered by the northern end of High Park and the eastern arm of Junction Triangle, this eclectic neighborhood welcomes urban professionals and young families alike. The familiar vibe of The Junction makes you instantly feel like you are home. Enjoy the many property amenities such as smoke-free living, fitness facility with yoga and spin studio, social room, resident business centre, theatre with billiards, outdoor patio with BBQ and lounge area, bike storage, pet spa, garage parking with EV stations, visitor parking and Communauto car rental along with a helpful on-site management team to service your needs. This vibrant neighbourhood will fulfill your every need.",,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bdm-den-for-rent-at-junction-factory-dundas-w-runnymede/1682800718
