Title,Price,Address,Posting Date,Building Type,Bedrooms,Bathrooms,Utilities Included,Wi-Fi and More,Description,Visit Counter,User Info,url
2+Den Tridel New Condo at Bloor and Islington,"$3,150No Utilities Included","5 Mabelle Avenue, Etobicoke, ON","March 5, 2024 2:26 AM",Condo,2 + Den,2,,Internet,Tridel 2+Den New Condo at Bloor/ Islington.,31 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-den-tridel-new-condo-at-bloor-and-islington/1687311830
Central Park Place - 2 Bedroom Apartment for Rent,"$2,800Some Utilities Included","1294 Islington Avenue, Toronto, ON, M9A 3K2","March 8, 2024 5:50 AM",Apartment,2,1,"Hydro, Heat, Water",Not Included,Utilities Included,,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/central-park-place-2-bedroom-apartment-for-rent/1686104471
1 Bedroom  for Rent in Midtown Toronto's Leaside Neighourhood!,"$2,300Some Utilities Included","6 Airdrie Road, East York, ON, M4G 1L7","February 10, 2024 12:18 AM",Apartment,1,1,"Hydro, Heat, Water",Not Included,"Kelvingrove Apartments offers luxury rentals in the heart of mid-town Toronto's Leaside neighbourhood. While the suites have been completely renovated to reflect contemporary design and modern finishes, Kelvingrove still maintains its historical charm and continues to preserve its distinct position in the Leaside community. You can expect modern kitchens and bathrooms with sleek finishes such as granite countertops, stainless steel appliances, dishwasher, in-suite laundry and beautiful wood flooring. Enjoy luxurious condo-styled features such as window coverings and central air conditioning. Some notable amenities of this property include garage, heated parking our beautiful gazebo and courtyard surrounded by award winning landscaping. Kelvingrove is conveniently located near the Leaside Village Shopping Centre and the popular restaurants, cafes and shops of Bayview Avenue. Only 20 minutes from downtown Toronto with easy access to the DVP, TTC bus stops and the Yonge and Eglinton subway station.Suite Features:",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-for-rent-in-midtown-torontos-leaside-neighourhood/1674565059
YORK UNIVERSITY,,"22 Sheffer Terrace, North York, ON","February 17, 2024 5:35 PM",,,,,,"1. There are 4 huge windows in the room. Room is in the first floor. Share washroom. Price is $900.
2. The room is on the second floor with private washroom. Price is $1100.
2. There are 2 huge windows in the basement. There is private washroom and private balcony in the room. Price is $1000.
4. The room is on the third floor. Share washroom and balcony. Price is $850.
5. The room is in the basement. Share washroom. Price is $750.",935 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/york-university/1685598399
2 Bedroom for Rent in Midtown Toronto's Leaside Neighourhood!,"$2,875Some Utilities Included","6 Airdrie Road, East York, ON, M4G 1L7","February 10, 2024 12:18 AM",Apartment,2,1,"Hydro, Heat, Water",Not Included,"Kelvingrove Apartments offers luxury rentals in the heart of mid-town Toronto's Leaside neighbourhood. While the suites have been completely renovated to reflect contemporary design and modern finishes, Kelvingrove still maintains its historical charm and continues to preserve its distinct position in the Leaside community. You can expect modern kitchens and bathrooms with sleek finishes such as granite countertops, stainless steel appliances, dishwasher, in-suite laundry and beautiful wood flooring. Enjoy luxurious condo-styled features such as window coverings and central air conditioning. Some notable amenities of this property include garage, heated parking our beautiful gazebo and courtyard surrounded by award winning landscaping. Kelvingrove is conveniently located near the Leaside Village Shopping Centre and the popular restaurants, cafes and shops of Bayview Avenue. Only 20 minutes from downtown Toronto with easy access to the DVP, TTC bus stops and the Yonge and Eglinton subway station.Suite Features:",,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-for-rent-in-midtown-torontos-leaside-neighourhood/1674565016
Bright Fully Furnished Rooms North York Yonge Steels Private,,"North York, ON M2M 1P1","March 8, 2024 7:03 PM",,,,,,"2 rooms available from April 1st
1 very large room with large walk in closet available for month of March
Large room : 1000$
other rooms: 800$ and 750$
Bright fully furnished Room on 1st floor in a Clean, Quiet and Well Managed house
Safe and Beautiful neighborhood
---
Description of the house:
Location : Toronto, North York, Near Yonge and Steels intersection
Postal Code: M2M 1P1
Very Safe and beautiful neighborhood close to colleges, grocery stores,
shopping mall, Park, Gym, restaurants, and bus stops","1,297 visits",KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/bright-fully-furnished-rooms-north-york-yonge-steels-private/1686928708
One bedroom available,,"Pharmacy Ave, Toronto, ON, M1R2H6","March 10, 2024 10:51 PM",,,,,,"Accessible to store/convenient store and one block away to the bus stop.
Utilities and internet included. Private fridge provided inside the room.",2 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-bedroom-available/1687860236
4 bedroom and 2 bathroom unit is for rent!  immediately,"$2,900No Utilities Included","Scarborough, ON M1H 1G4","March 10, 2024 10:50 PM",Basement,4,2,,Not Included,"4 bedroom and 2 bathroom unit is for rent! This unit is located on the lower unit (walk-out basement from the front) . Kitchen (stove, fridge, exhaust fan, and microwave) and laundry. Looking for quiet and clean students and or working professionals.",2 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/4-bedroom-and-2-bathroom-unit-is-for-rent-immediately/1687860159
Renovated large beautiful apartment - Pharmacy & Ellesmere!,"$2,000All Utilities Included","Scarborough, ON M1R 4H7","March 10, 2024 10:48 PM",Basement,1,1,"Hydro, Heat, Water",Internet,"Welcome to your spacious and recently renovated basement apartment for rent at Pharmacy and Ellesmere! This bright and airy unit boasts a generously sized layout, offering ample space for comfortable living. The well-lit interior creates an inviting atmosphere throughout, making it a cozy retreat to call home. Conveniently situated within walking distance to multiple TTC options, including bus routes and subway stations, commuting around the city is a breeze. Enjoy the convenience of easy access to public transportation, making it simple to explore all that Toronto has to offer.",7 visits,KKijiji User,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-large-beautiful-apartment-pharmacy-ellesmere/1687859965
Looking for Responsible quiet female  1 Room ALL INCLUDED  TTC,,"Toronto, ON M6H 4B5","March 10, 2024 10:47 PM",,,,,,Looking for Responsible quiet female for 1Room sharedHouse,4 visits,KKijiji User,https://www.kijiji.ca/v-room-rental-roommate/city-of-toronto/looking-for-responsible-quiet-female-1-room-all-included-ttc/1687859927
